,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
186,Esmond Elementary School,"1865 W Montvale Ave, Chicago, IL 60643",80.0,75.0,71.0,81.0,42.0,-0.5236392129543179,62868.0
187,Eugene Field Elementary School,"7019 N Ashland Ave, Chicago, IL 60626",87.0,91.0,74.0,81.0,47.0,-0.6577325815563554,38951.0
188,Everett McKinley Dirksen Elementary School,"8601 W Foster Ave, Chicago, IL 60656",48.0,56.0,55.0,55.0,31.0,0.5605160620977916,59157.0
189,Evergreen Academy Middle School,"3537 S Paulina St, Chicago, IL 60609",97.0,92.0,93.0,87.0,69.0,-0.682238125365405,31357.0
190,Fairfield Elementary Academy,"6201 S Fairfield Ave, Chicago, IL 60629",63.0,32.0,39.0,48.0,32.0,0.7316508076125346,50099.0
191,Federico Garcia Lorca Elementary School,"3231 N Springfield Ave, Chicago, IL 60618",75.0,64.0,58.0,62.0,52.0,-0.1315985887947225,55303.0
192,Ferdinand Peck Elementary School,"3826 W 58th St, Chicago, IL 60629",,85.0,75.0,92.0,,-0.7232442463607704,50099.0
193,Fernwood Elementary School,"10041 S Union Ave, Chicago, IL 60628",91.0,67.0,65.0,56.0,93.0,-0.5316794091833568,47232.0
194,Florence Nightingale Elementary School,"5250 S Rockwell St, Chicago, IL 60632",75.0,57.0,60.0,73.0,50.0,-0.1985945461751287,46811.0
195,Fort Dearborn Elementary School,"9025 S Throop St, Chicago, IL 60620",71.0,50.0,47.0,30.0,43.0,0.6552570938008749,45717.0
196,Foster Park Elementary School,"8530 S Wood St, Chicago, IL 60620",89.0,58.0,54.0,67.0,89.0,-0.48330678087071033,45717.0
197,Foundations College Preparatory Charter School,"1233 W 109th Pl, Chicago, IL 60643",90.0,69.0,65.0,51.0,45.0,-0.20442985169392752,62868.0
198,Francis M McKay Elementary School,"6901 S Fairfield Ave, Chicago, IL 60629",88.0,76.0,68.0,60.0,43.0,-0.4329687177454245,50099.0
199,Francis W Parker Elementary Community Academy,"6800 S Stewart Ave, Chicago, IL 60621",78.0,81.0,65.0,60.0,36.0,-0.21274674773450272,23875.0
200,Francisco I Madero Middle School,"3202 W 28th St, Chicago, IL 60623",86.0,84.0,85.0,75.0,53.0,-0.6608634248211425,34670.0
201,Frank I Bennett Elementary School,"10115 S Prairie Ave, Chicago, IL 60628",97.0,68.0,67.0,54.0,45.0,-0.32863127409825577,47232.0
202,Frank L Gillespie Elementary School,"9301 S State St, Chicago, IL 60619",83.0,66.0,62.0,60.0,69.0,-0.5064241036693663,42754.0
203,Frank W Gunsaulus Elementary Scholastic Academy,"4420 S Sacramento Ave, Chicago, IL 60632",80.0,76.0,56.0,84.0,54.0,-0.6138105678458402,46811.0
204,Frank W Reilly Elementary School,"3650 W School St, Chicago, IL 60618",57.0,33.0,32.0,55.0,41.0,0.7105476236642863,55303.0
205,Franklin Elementary Fine Arts Center,"225 W Evergreen Ave, Chicago, IL 60610",73.0,63.0,50.0,82.0,40.0,-0.09044164657618436,70682.0
206,Franz Peter Schubert Elementary School,"2727 N Long Ave, Chicago, IL 60639",,60.0,53.0,80.0,,-0.17184819941969526,50923.0
207,Frazier Preparatory Academy Charter School,"3711 W Douglas Blvd, Chicago, IL 60623",46.0,18.0,19.0,31.0,14.0,0.6434254043558357,34670.0
208,Frazier Prospective IB Magnet ES,"4027 W Grenshaw St, Chicago, IL 60624",89.0,68.0,52.0,64.0,62.0,-0.39669119491812643,28695.0
209,Frederic Chopin Elementary School,"2450 W Rice St, Chicago, IL 60622",41.0,45.0,52.0,50.0,18.0,0.6276562802837649,54344.0
210,Frederick A Douglass Academy High School,"543 N Waller Ave, Chicago, IL 60644",74.0,79.0,61.0,56.0,71.0,-0.4745774849793194,35248.0
211,Frederick Funston Elementary School,"2010 N Central Park Ave, Chicago, IL 60647",72.0,47.0,43.0,61.0,58.0,0.4733205599052699,46572.0
212,Frederick Stock Elementary School,"7507 W Birchwood Ave, Chicago, IL 60631",,77.0,66.0,98.0,,-0.6409251797603022,67465.0
